heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2015-241,West Indian Mahogany,Swietenia mahagoni (L.) Jacq.,"Singapore Botanic Gardens, Lawn R",https://heritagetrees.nparks.gov.sg/ht-2015-241/,103.81480149980547,1.311504429931504
HT 2015-247,Bangkal,Nauclea orientalis,"Singapore Botanic Gardens, EG14",https://heritagetrees.nparks.gov.sg/ht-2015-247/,103.81544680032707,1.3199110701618602
HT 2015-272,Nutmeg,Myristica fragrans Houtt.,Singapore Botanic Gardens - LXJ - Central Core,https://heritagetrees.nparks.gov.sg/ht-2015-272/,103.81575680021513,1.318712410335613
HT 2003-71,,Ficus stricta (Miq.) Miq.,"Pulau Ubin, at granite outcrop near Police Post",https://heritagetrees.nparks.gov.sg/ht-2003-71/,103.97346839981404,1.403483790422677
HT 2007-158,Angsana,Pterocarpus indicus Willd.,"Junction of Canterbury Road and Berkshire Road, on sloping ground, Alexandra Park",https://heritagetrees.nparks.gov.sg/ht-2007-158/,103.79811559775197,1.280734403331559
HT 2003-49,Keruing Kerut,Dipterocarpus sublamellatus Foxw.,"Changi, Cranwell Road near junction with Loyang Avenue",https://heritagetrees.nparks.gov.sg/ht-2003-49/,103.98005838179861,1.3875396321630016
HT 2016-284,Sea Fig,Ficus superba Miq.,"Bedok Rise S/L, near fence; footpath",https://heritagetrees.nparks.gov.sg/ht-2016-284/,103.94616059858267,1.32583918573171
HT 2016-280,Kempas,Koompassia malaccensis Maing. ex Benth.,"Singapore Botanic Gardens, nr Botany Ctr, Lawn O",https://heritagetrees.nparks.gov.sg/ht-2016-280/,103.8174046997635,1.310508330053317
HT 2016-281,,Adina eurhyncha (Miq.) Å.Krüger & Löfstrand,"Singapore Botanic Gardens, Rainforest near NParks HQ",https://heritagetrees.nparks.gov.sg/ht-2016-281/,103.81593580023868,1.3142396999146628
HT 2023-326,Thai Bungor,Lagerstroemia loudonii Teijsm. & Binn.,,https://heritagetrees.nparks.gov.sg/ht-2023-326/,103.81541180029046,1.3081345798532182
